model,variant,enc,params,flops_per_forecast,flops_fwd_total,n_forecasts,peak_mem_GB,analytic_rnn_topup,analytic_fft_topup,analytic_ssd_topup,analytic_attn_topup,one_time_setup_flops,param_only_uncounted,blind_modules,status,local_flops_per_forecast,local_vs_box
gru,fa_3d_id,embeddings,1269382,87384692.3984445,2629143240192,30087,30.772,851809665024,0,,,0,,,ok,,
gru,fa_3d_id,onehot,1269378,87384692.3984445,2629143240192,30087,30.771,851809665024,0,,,0,,,ok,,
gru,fa_4d,embeddings,1226626,88845790.61202513,2673103302144,30087,31.986,851809665024,0,,,0,,,ok,88845791,same
gru,fa_4d,onehot,1226626,88845790.61202513,2673103302144,30087,31.985,851809665024,0,,,0,,,ok,,
gru,fa_4d_id,embeddings,1400578,88845790.61202513,2673103302144,30087,32.001,851809665024,0,,,0,,,ok,,
gru,fa_4d_id,onehot,1400578,88845790.61202513,2673103302144,30087,32.000,851809665024,0,,,0,,,ok,,
gru,fa_local_2d,embeddings,629678,32255212.912952438,970462590912,30087,16.157,851809665024,0,,,0,,,ok,32255213,same
gru,fa_local_3d,embeddings,554758,46986561.21567454,1413684667296,30087,17.573,851809665024,0,,,0,,,ok,46986561,same
gru,fa_local_4d,embeddings,620034,46973229.17140293,1413283546080,30087,18.812,851809665024,0,,,0,,,ok,46973229,same
gru,fa_sm_2d,embeddings,1104942,70594417.02901585,2123974225152,30087,27.993,851809665024,0,,,0,,,ok,70594417,same
gru,fa_sm_3d,embeddings,1095686,87873150.6981753,2643839485056,30087,31.190,851809665024,0,,,0,,,ok,87873151,same
gru,fa_sm_4d,embeddings,1226626,89334968.82081962,2687821206912,30087,33.157,851809665024,0,,,0,,,ok,89334969,same
gru,onehot,onehot,575106,41159168.0,84293976064,2048,1.274,57982058496,0,,,0,,,ok,41159168,same
lstm,aca_2d,embeddings,728750,40287458.82381095,1212128773632,30087,17.360,1135746220032,0,,,0,,,ok,40287459,same
